 time, vibration, pressure, z_tilt
 14:46:10 2022/6/3,0,902,1376
 14:46:10 2022/6/3,0,903,1248
 14:46:11 2022/6/3,1,901,900
 14:46:11 2022/6/3,0,908,-44
 14:46:12 2022/6/3,0,911,340
 14:46:12 2022/6/3,1,911,488
 14:46:13 2022/6/3,0,911,252
 14:46:13 2022/6/3,0,912,160
 14:46:14 2022/6/3,1,911,384
 14:46:14 2022/6/3,1,915,352
 14:46:15 2022/6/3,1,919,208
 14:46:15 2022/6/3,1,919,348
 14:46:16 2022/6/3,1,916,204
 14:46:16 2022/6/3,1,916,72
 14:46:17 2022/6/3,0,915,460
 14:46:17 2022/6/3,1,912,476
 14:46:18 2022/6/3,1,914,284
 14:46:18 2022/6/3,1,914,220
 14:46:19 2022/6/3,1,912,204
 14:46:19 2022/6/3,0,914,472
 14:46:20 2022/6/3,1,914,520
 14:46:20 2022/6/3,1,912,168
 14:46:21 2022/6/3,0,911,320
 14:46:21 2022/6/3,0,909,136
 14:46:22 2022/6/3,0,910,8
 14:46:22 2022/6/3,1,909,60
 14:46:23 2022/6/3,1,909,292
 14:46:23 2022/6/3,1,905,304
 14:46:24 2022/6/3,0,903,192
 14:46:24 2022/6/3,0,906,260
 14:46:25 2022/6/3,1,908,356
 14:46:25 2022/6/3,1,907,192
 14:46:26 2022/6/3,1,905,-76
 14:46:26 2022/6/3,1,906,420
 14:46:27 2022/6/3,1,905,524
 14:46:27 2022/6/3,0,905,308
 14:46:28 2022/6/3,1,904,308
 14:46:28 2022/6/3,0,903,148
 14:46:29 2022/6/3,1,904,348
 14:46:29 2022/6/3,1,904,308
 14:46:30 2022/6/3,1,904,184
 14:46:30 2022/6/3,1,904,388
 14:46:31 2022/6/3,0,904,204
 14:46:31 2022/6/3,0,903,248
 14:46:32 2022/6/3,1,902,584
 14:46:32 2022/6/3,1,891,-20
 14:46:33 2022/6/3,1023,892,92
 14:46:33 2022/6/3,1,893,504
 14:46:34 2022/6/3,1023,892,-420
 14:46:34 2022/6/3,1023,891,168
 14:46:35 2022/6/3,1023,891,416
